#------------------------------
#汉喃字	国语字
#------------------------------
⺊	bốc
㐌	dã
㐌	đà
㐌	đã
㐌	đỡ
㐫	hông
㐫	hung
㐱	chỉn
㐱	chín
㐱	xỉn
㐻	nòi
㑁	chứt
㑄	mẫu
㑍	chỗi
㑍	trỗi
㑍	truồi
㑏	dữ
㑏	giữ
㑘	giáy
㑝	lóng
㑫	nộm
㑳	châu
㒔	xốc
㒙	min
㒷	hưng
㓙	hung
㓜	ao
㓜	ấu
㓟	phay
㓠	chẻm
㓠	chém
㓠	chím
㓤	cắt
㓭	hớt
㓶	khía
㔧	lử
㔾	tiết
㕑	chùa
㕑	trù
㕠	song
㕧	thây
㕫	phăng
㕭	eo
㕭	êu
㕭	ỏe
㕰	mau
㕲	mọc
㕵	uống
㕸	dập
㕸	khấp
㕸	lắp
㕸	lặp
㕸	lập
㕸	lóp
㕸	ráp
㕸	rắp
㕸	rập
㕸	sắp
㕸	xập
㖀	rụt
㖂	dạy
㖂	dấy
㖂	dậy
㖅	tuếch
㖆	khục
㖇	dè
㖇	nhây
㖇	nhe
㖇	nhè
㖇	nhỉ
㖇	nhí
㖏	nạt
㖏	nẹt
㖑	nhái
㖑	nhại
㖔	thôn
㖔	xôn
㖕	tăn
㖗	gầm
㖗	râm
㖗	rầm
㖗	sầm
㖗	sùm
㖞	oai
㖠	nài
㖠	này
㖠	nhại
㖡	dạ
㖣	bạu
㖣	vòi
㖤	hàm
㖧	hôn
㖪	khắc
㖫	lăng
㖫	lằng
㖫	lẳng
㖫	lặng
㖫	lâng
㖫	lung
㖫	lừng
㖫	rằng
㖫	rưng
㖭	thăm
㖵	gù
㖵	gừ
㖵	khụ
㖷	dề
㖸	ngước
㖹	vỏn
㖹	vồn
㖺	xon
㖻	nhù
㖼	mỏ
㖼	mổ
㖼	môi
㖼	mồi
㖽	hợt
㗀	u
㗀	ù
㗁	ngác
㗁	ngắc
㗂	tiếng
㗂	thánh
㗅	hò
㗅	hô
㗈	dõng
㗈	giõng
㗈	nũng
㗌	rất
㗍	han
㗑	vái
㗒	ơi
㗔	ghiền
㗔	kèn
㗕	cáu
㗕	gẫu
㗕	quạu
㗖	thào
㗘	bô
㗙	so
㗙	sò
㗙	sô
㗙	thò
㗙	xồ
㗚	lất
㗚	rật
㗚	rứt
㗚	trắt
㗜	rúc
㗜	sột
㗜	súc
㗜	sục
㗜	xục
㗞	phở
㗢	rống
㗢	rủng
㗦	lao
㗩	dập
㗭	rắt
㗰	toàng
㗰	tùng
㗰	tuồng
㗱	chách
㗱	choác
㗱	tấp
㗱	tộp
㗳	đốp
㗳	đớp
㗳	ngáp
㗴	nhằn
㗴	nhợn
㗶	phét
㗶	phẹt
㗶	phết
㘁	gịt
㘃	nấc
㘃	nức
㘇	vạn
㘇	vang
㘇	vinh
㘈	ngờ
㘈	ngơi
㘉	sịt
㘉	tít
㘉	xịt
㘋	hèn
㘋	hờn
㘌	khệch
㘓	lờn
㘓	ran
㘖	nhăng
㘗	gồ
㘙	nghiến
㘙	nhem
㘢	khoang
㘨	nồi
㘨	nội
㘭	ao
㙁	mũi
㙁	muối
㙔	vỉa
㙕	vại
㙘	niêu
㙤	hố
㙩	niêu
㙮	đắp
㙮	tháp
㙮	thấp
㙴	thềm
㚁	khiêu
㚇	sồng
㚇	tông
㛎	lỡ
㛎	nhỡ
㛕	áp
㛟	miễn
㛪	em
㛪	êm
㛪	im
㛪	yêm
㛱	ổi
㜥	mái
㜮	lợm
㝵	ngại
㝵	ngày
㝵	người
㝹	nao
㝹	nau
㝹	niu
㟁	ngạn
㟮	chót
㟴	ngùi
㡝	mùng
㡴	lụp
㣺	tâm
㣿	ước
㤇	yêu
㤋	phẫn
㤌	cam
㤌	căm
㤏	chòng
㤓	bẳn
㤓	bỡn
㤓	bủn
㤕	chút
㤕	trót
㤕	xót
㤝	sung
㤝	suông
㤡	sệt
㤥	hãi
㤥	hãy
㤨	hòng
㤨	khủng
㤳	bẽ
㤹	quàu
㤿	êm
㥃	mòn
㥃	mọn
㥄	lẳng
㥄	lắng
㥋	e
㥏	điễn
㥠	rể
㥥	ngùng
㥬	bàng
㦃	sẻn
㦆	hú
㦉	nhát
㦑	dám
㦓	nhơn
㦓	nhớn
㦖	mọn
㦖	muốn
㦖	muộn
㦗	quặm
㦡	lạc
㦡	nhác
㦡	nháo
㦦	lờn
㦨	lờn
㦸	kích
㧅	đeo
㧅	đèo
㧅	neo
㧊	phảy
㧌	mào
㧍	phang
㧏	giang
㧐	song
㧐	tủng
㧑	huy
㧓	co
㧓	quơ
㧗	nhử
㧙	tát
㧡	cài
㧡	gây
㧤	rung
㧪	ngoe
㧪	nguây
㧯	lảo
㧴	ngả
㧺	đạp
㧺	đập
㧼	bíu
㧼	vẻo
㧼	víu
㧾	hót
㧾	hốt
㨂	đong
㨂	đóng
㨂	gióng
㨃	ưỡn
㨋	giả
㨋	giã
㨋	trở
㨐	bấu
㨔	giam
㨔	giằm
㨔	giầm
㨕	dệnh
㨗	tẹp
㨗	tiệp
㨘	hanh
㨘	sểnh
㨞	tó
㨢	nặn
㨢	nần
㨢	nâng
㨢	nấng
㨢	nưng
㨥	nắp
㨥	nép
㨦	chếch
㨪	hoảng
㨫	chạm
㨯	chon
㨲	vanh
㨲	văng
㨲	vênh
㨳	ghé
㨳	gợi
㨳	gửi
㨴	càn
㨴	gán
㨶	đẽo
㨶	đéo
㨿	cứ
㩃	hàn
㩇	ngoạc
㩇	ngoạch
㩇	vạch
㩍	xách
㩒	cắm
㩒	cặm
㩒	cầm
㩔	nện
㩜	giam
㩜	lãm
㩞	vanh
㩞	văng
㩡	chỏi
㩡	chọi
㩡	chuỗi
㩡	dủi
㩡	giỏi
㩡	giồi
㩡	giội
㩡	giủi
㩡	giúi
㩡	giụi
㩡	giuỗi
㩡	lòi
㩡	lúi
㩡	nổi
㩡	rỏi
㩡	rủi
㩡	ruổi
㩡	ruỗi
㩡	trói
㩡	trọi
㩡	trồi
㩡	trỗi
㩡	xói
㩢	miệt
㩢	mót
㩧	bẹo
㩫	chắt
㩫	chặt
㩫	chất
㩫	chít
㩫	dắt
㩫	dặt
㩫	giắt
㩫	rắc
㩫	rắt
㩫	rất
㩱	tước
㩳	song
㩳	tủng
㩴	gò
㩹	bẹp
㩹	dẹp
㪗	đầu
㪚	tan
㪚	tản
㪯	cửa
㪯	gở
㪯	gỡ
㪰	chay
㫝	đì
㫧	gạo
㫭	thì
㫰	láng
㫵	phơi
㫻	luôn
㫼	xế
㫾	thửng
㬳	ngủ
㬵	giao
㬻	hoăn
㬿	trôn
㭁	nải
㭁	nảy
㭉	mọc
㭌	ngâu
㭍	thất
㭎	cương
㭒	tự
㭒	trĩ
㭙	chày
㭨	dà
㭨	dừa
㭲	cóc
㭲	cọc
㭲	góc
㭲	gốc
㭲	gộc
㭼	đập
㭽	đay
㮀	hòm
㮈	nậy
㮔	chuồng
㮔	tròng
㮛	đề
㮠	vang
㮠	vành
㮢	gàu
㮧	gồ
㮧	gỗ
㮧	ồ
㮩	tượt
㮲	rọ
㮲	su
㮴	sấu
㮿	tắt
㯊	yên
㯖	đước
㯚	tráp
㯝	rọ
㯮	dọc
㯲	cấm
㯲	cộm
㯲	cụm
㯲	khóm
㯶	tông
㯷	bục
㯿	sáp
㯿	sạp
㯿	xốp
㯿	xộp
㰀	lê
㰁	giổi
㰁	khoả
㰁	khỏa
㰁	lõi
㰁	lụi
㰁	rụi
㰁	sói
㰁	sồi
㰁	trụi
㰖	lãm
㰙	nạng
㱮	hội
㲸	uất
㲸	ướt
㳄	khém
㳉	ngoét
㳌	nhớp
㳘	sông
㳘	xông
㳚	nhúng
㳜	đìu
㳝	nhẵm
㳥	lạnh
㳥	lỏng
㳥	lóng
㳥	lộng
㳥	lùng
㳥	luông
㳥	sóng
㳪	vữa
㳯	tăn
㳶	dỏ
㳶	nhỏ
㳹	uống
㳻	tách
㳻	tếch
㴖	lạch
㴜	biển
㴨	chấm
㴫	cuộn
㴷	đắm
㴽	giặt
㴽	tắt
㵀	triền
㵊	suối
㵊	xối
㵋	mới
㵒	phè
㵒	phé
㵢	giồi
㵢	loi
㵢	lôi
㵢	sôi
㵢	sùi
㵢	trôi
㵣	ướt
㵧	cát
㵩	dấp
㶑	lịm
㶤	tạch
㶥	rang
㶩	đom
㶬	muội
㷈	ươm
㷋	đượm
㷙	rèn
㷚	đoành
㷚	rành
㷝	dụt
㷝	đốt
㷝	giộp
㷝	rọt
㷟	thoái
㷟	thui
㹟	qué
㹠	chồn
㹠	khọn
㹥	chó
㹦	cheo
㹫	dơi
㹭	dại
㹭	duệ
㹯	hòi
㹯	hươu
㹯	hưu
㹰	hoẵng
㹵	kinh
㺏	trâu
㺔	vây
㺔	voi
㺔	vỏi
㺜	nùng
㺝	hạm
㺝	nhím
㺞	dữ
㺧	heo
㺧	hươu
㻠	xụt
㼝	oản
㽳	võ
㽻	ghẻ
㽿	cùi
㾀	khử
㾄	rồ
㾄	rù
㾆	nhom
㾉	lạnh
㾑	híp
㾔	lở
㾔	lử
㾕	tăn
㾞	dấu
㾮	hoàng
㾯	òi
㾯	ủi
㾵	ghẻ
㾶	xót
㾹	sài
㾾	hem
㾿	loang
㾿	váng
䀡	nhỏm
䀡	xem
䀧	hòng
䀨	quáng
䀨	quắc
䀩	nhác
䀭	hãy
䀲	mỏi
䀹	thiểm
䁀	đảnh
䁀	đỉnh
䁐	hiếng
䁖	lâu
䁛	coi
䁠	gằm
䁠	gườm
䁩	ngơ
䁱	nheo
䁲	máy
䁻	nhác
䁾	mịt
䂥	mìn
䂫	kháng
䂾	xoay
䃄	gành
䃄	ghềnh
䃅	đạn
䃅	sạn
䃆	ghè
䃛	lèn
䃛	liễn
䃣	ve
䃹	rạn
䄡	xem
䄧	nảy
䄧	nẩy
䄫	ré
䅒	mường
䅘	lai
䅟	thảm
䆂	rơm
䆰	khụ
䆰	khư
䇄	ngất
䇄	ngật
䇛	chổi
䇠	giỏ
䇪	rế
䇮	sậy
䇴	rây
䇶	giốc
䇷	bịt
䇸	siểng
䇺	đậu
䇻	vỉ
䇿	tốc
䈒	nơm
䈜	hổng
䈜	hống
䈜	xăm
䈧	vòi
䈫	nắp
䈫	níp
䈫	nớp
䈬	bồ
䈵	ông
䈵	ống
䈹	tủ
䈺	chông
䈻	bu
䉒	phên
䉒	phiên
䉤	sổ
䉭	liếp
䉭	liệp
䊇	bò
䊚	dồi
䊚	giồi
䊟	mẳn
䊷	chài
䊹	khiên
䊹	tiêm
䊼	chẽ
䊼	chẹ
䊼	chỉ
䋃	mau
䋋	mân
䋎	đụp
䋎	đứt
䋎	sất
䋎	thất
䋖	luột
䋘	lòi
䋘	rời
䋘	sồi
䋠	buả
䋥	lưới
䋦	mai
䋦	mồi
䋦	mối
䋦	múi
䋱	lơi
䋻	nắm
䋼	giềng
䌌	dập
䌌	tập
䌑	ken
䌝	gấm
䌩	bịt
䌫	lãm
䌷	điều
䌽	giẻ
䏊	lung
䏓	nguyễn
䏔	xẩu
䏙	đom
䏜	mạp
䏜	mập
䏜	mọp
䏝	chuyên
䏠	sấp
䏦	thịt
䏧	da
䏧	đa
䏳	riếc
䏴	toe
䏶	vế
䏹	nghén
䏽	bòi
䏾	bóng
䏾	bọng
䏾	bủng
䏾	bụng
䐁	đồn
䐏	xoan
䐗	chả
䐗	chửa
䐠	hoăn
䐠	hoẳn
䐥	hông
䐥	ỏng
䐥	õng
䐥	ống
䐧	keo
䐭	giái
䐿	úc
䑅	mống
䑅	mộng
䑈	nạc
䑴	ghe
䒑	thảo
䒜	ngâu
䒞	đơm
䒡	giớn
䒦	bìm
䒦	bịp
䒳	đoá
䒳	đóa
䒹	chồi
䒹	chổi
䓊	ngâu
䓊	ngổ
䓙	khoai
䓡	tre
䓪	rễ
䓬	xước
䔁	sặt
䔅	cà
䔍	má
䔩	tốc
䔲	đăng
䔲	đắng
䔻	giun
䕝	sắng
䕭	tầm
䕯	bầu
䕯	bèo
䕯	biều
䕱	trầu
䕺	lùm
䕺	tùng
䕼	nan
䕼	năn
䖏	xử
䖏	xứ
䖡	chấu
䖨	thạch
䖳	chạch
䖳	trạch
䖴	riêu
䖷	he
䗀	lăng
䗀	lằng
䗂	hổ
䗅	chàng
䗇	cúc
䗊	vẹm
䗋	mò
䗔	hàu
䗔	hầu
䗲	lằn
䘃	mặc
䘃	mực
䘆	hến
䘮	tang
䘮	táng
䘹	lót
䙊	dải
䙊	giải
䙦	mỏng
䚀	hạm
䚂	đỏ
䚵	khoa
䛊	thức
䜹	thơ
䜹	thư
䜹	thưa
䝨	hèn
䝨	hiền
䟘	khạng
䟞	dạo
䟢	giãy
䟢	giẫy
䟢	nhảy
䟢	nhẩy
䟪	mẹp
䟬	kheo
䟻	chờ
䠇	quặt
䠏	quẹo
䠏	quí
䠣	dón
䠣	đón
䠣	nhún
䠣	rón
䠣	tuyển
䢐	chở
䢖	trút
䢦	suốt
䣭	du
䣷	chua
䣷	gặt
䤠	chỉa
䤲	xếch
䤲	xích
䤵	phay
䤵	phỉ
䥠	châm
䥽	bạt
䦆	quắc
䦧	quých
䧍	góc
䧺	vùng
䨔	quáng
䨔	quầng
䨙	dâm
䬔	gió
䬰	cháo
䮇	buýt
䮯	ngào
䯄	qua
䰀	uỷ
䰀	ủy
䰺	cân
䰼	kìm
䰼	thầm
䱊	mè
䱑	chiết
䱑	giếc
䱒	ấp
䱒	ốp
䱕	mòi
䱕	mối
䱚	lóc
䱛	hức
䱛	vược
䱣	chốt
䱷	ngư
䱸	sấu
䱾	lâu
䱾	lấu
䲋	thia
䲟	ấn
䲧	sẻ
䲨	công
䲲	công
䲼	sảnh
䲼	sinh
䳂	sáo
䳂	sếu
䳍	ngỗng
䳧	hâu
䳱	vọ
䳱	vụ
䳽	hạc
䴈	ụt
䴉	hoàn
䴌	mòng
䴏	én
䴓	thi
䴕	liệt
䴸	phu
䶊	nục
䶕	bá
䶞	cời
䶧	giảo
䶶	đè
一	nhắt
一	nhất
一	nhứt
丁	đềnh
丁	đinh
丁	đĩnh
丁	đứa
七	sất
七	thất
万	muôn
万	vàn
万	vạn
丈	dượng
丈	trượng
三	ba
三	tam
上	thượng
下	hạ
不	bất
与	dữ
与	dự
与	đử
丏	miện
丐	cái
丐	cưới
丐	gái
丐	gáy
丑	giấu
丑	sấu
丑	sửu
丑	xấu
丒	giấu
专	chuyên
且	thả
且	vả
且	vã
丕	bậy
丕	chăng
丕	chẳng
丕	phi
丕	phỉ
丕	phơi
丕	vầy
丕	vậy
世	đời
世	thá
世	thay
世	thé
世	thể
世	thế
丘	khâu
丘	kheo
丘	khêu
丘	khưu
丙	biếng
丙	bính
业	nghiệp
丛	tòng
丛	tùng
东	đông
丝	ti
丝	tỉ
丝	tơ
丝	tưa
丝	ty
丞	chẳng
丞	thừa
丢	đâu
丢	điêu
丢	đốc
两	lạng
两	lưỡng
严	nghiêm
並	sánh
並	tịnh
丧	tang
丧	táng
丨	cổn
个	cá
个	cớ
丫	a
丫	nha
丬	tường
中	đúng
中	trong
中	trung
中	trúng
中	truông
中	truồng
丰	phong
丱	quán
串	quán
串	xiên
串	xuyên
串	xuyến
临	khom
临	lâm
临	lom
丶	chủ
丷	bát
丸	giúp
丸	hoàn
丸	hòn
丸	xắp
丸	xóp
丹	đam
丹	đan
丹	đơn
为	va
为	vài
为	vay
为	ve
为	veo
为	vèo
为	vê
为	vi
为	vì
为	vĩ
为	ví
为	vị
为	vơ
为	vờ
为	vơi
为	vời
主	chủ
主	chuá
主	chúa
丽	lệ
举	cử
丿	phảy
丿	phết
丿	phịch
丿	phiết
丿	phiệt
丿	phút
乀	phật
乂	nghệ
乃	nải
乃	nãi
乃	nái
乃	nảy
乃	nãy
乃	náy
乃	nấy
乃	nới
久	cửu
么	ma
义	nghĩa
义	xơ
之	chi
之	gì
之	giây
乌	ô
乍	cha
乍	chạ
乍	sã
乍	sạ
乎	hồ
乏	băm
乏	bấp
乏	bợm
乏	bướm
乏	bượp
乏	mạp
乏	mặp
乏	mấp
乏	mập
乏	phạp
乏	phặp
乏	phập
乏	phím
乏	phốp
乏	phúp
乏	phụp
乐	lạc
乐	nhạc
乒	binh
乓	bang
乔	kiều
乖	quai
乖	quay
乘	thắng
乘	thặng
乘	thừa
乙	át
乙	ắc
乙	ặc
乙	ắt
乙	ất
乙	hắt
乙	ít
乙	lớt
乙	ngắt
乙	út
乚	ất
乛	ất
乜	khiết
九	cửu
乞	gật
乞	hắt
乞	hất
乞	khắt
乞	khất
乞	ngất
也	dã
也	dạ
也	giã
也	rã
习	tập
乡	hương
书	thư
乩	kê
买	mãi
乱	loàn
乱	loạn
乳	nhỏ
乳	nhỗ
乳	nhủ
乳	nhũ
乳	nhú
乳	vú
乾	can
乾	càn
乾	cạn
乾	gàn
乾	kiền
乾	khan
亂	loàn
亂	loạn
亅	quyết
了	kiết
了	lèo
了	lẻo
了	lẽo
了	léo
了	lểu
了	lếu
了	liễu
了	líu
了	sáu
亇	cá
予	dư
予	nhừ
争	chanh
争	danh
争	tranh
争	trành
事	sự
事	xì
二	nhẹ
二	nhì
二	nhị
亍	súc
亍	sục
亍	xúc
亍	xục
于	ô
于	ơ
于	ư
于	đao
于	hu
于	ờ
于	ở
于	ớ
于	thờ
于	ứ
于	ưa
于	vo
于	vò
于	vu
亏	khoe
亏	khoeo
亏	khuây
亏	khuy
亏	khuya
云	mây
云	vân
互	hổ
互	hỗ
五	ngũ
井	giếng
井	tểnh
井	tễnh
井	tỉn
井	tĩn
井	tỉnh
亘	càng
亘	cắng
亘	cứng
亘	gắng
亘	hẵng
亙	cẳng
亙	cắng
亙	cứng
亙	gắng
亙	hẵng
亚	á
些	ta
些	tá
亜	á
亞	a
亞	á
亟	cắc
亟	cấc
亟	cức
亟	cực
亠	đầu
亡	vong
亡	vô
亢	cang
亢	khảng
交	dao
交	giao
亥	hãy
亥	hỡi
亥	hợi
亦	cũng
亦	diếc
亦	diệc
产	sản
亨	hanh
亩	mẫu
享	hưởng
享	ngưởng
京	kềnh
京	kiêng
京	kinh
京	kình
亭	dừng
亭	đành
亭	đình
亭	đứa
亭	đừng
亭	rành
亭	rình
亮	lượng
亱	dạ
亲	thân
亵	tiết
亶	đàn
亷	liêm
人	nhân
人	nhơn
亻	nhân
亿	tỉ
亿	ức
什	lặt
什	sập
什	thậm
什	thập
仁	nhân
仁	nhơn
仃	dành
仃	dừng
仃	đanh
仃	đành
仃	đần
仃	đinh
仃	đình
仃	đứa
仃	đừng
仃	rành
仄	chắc
仄	trắc
仅	cẩn
仆	bọc
仆	bộc
仆	phó
仆	phóc
仆	phốc
仇	cừu
仈	vát
仉	kẻ
仉	kẽ
今	căm
今	câm
今	cầm
今	kim
今	ngấm
介	giới
仍	dưng
仍	dừng
仍	dửng
仍	nhang
仍	nhăng
仍	nhằng
仍	nhẳng
仍	nhâng
仍	nhùng
仍	nhưng
仍	những
从	tòng
从	tùng
从	tụng
仑	luân
仓	thương
仔	tể
仔	tử
仕	sải
仕	sãi
仕	sảy
仕	sẩy
仕	sè
仕	sẻ
仕	sẽ
仕	sễ
仕	sì
仕	sĩ
仕	sõi
仕	sỡi
仕	xảy
仕	xè
仕	xẻ
仕	xì
他	tha
他	thà
他	thả
他	thá
他	thè
他	thoa
他	thơ
他	xoa
仗	dượng
仗	trượng
付	pho
付	phó
付	phú
仙	tiên
仝	đồng
仝	giồng
仞	nhẩn
仞	nhận
仟	thiên
仡	ngất
代	dạy
代	dậy
代	đãi
代	đại
代	đời
代	đợi
代	đười
代	rượi
令	lanh
令	lành
令	lạnh
令	lênh
令	lềnh
令	lệnh
令	liêng
令	liệng
令	linh
令	lình
令	lịnh
令	loanh
令	rành
令	rình
以	dĩ
仨	tam
仪	nghe
仪	nghè
仪	nghi
仪	nghì
仪	nghỉ
仪	ngơi
们	môn
仰	khưỡng
仰	ngãng
仰	ngẳng
仰	ngẵng
仰	ngẩng
仰	ngẫng
仰	ngửng
仰	ngưỡng
仲	trọng
仳	tị
件	cạn
件	kẹn
件	kiện
件	kịn
价	giá
价	giới
任	nhăm
任	nhằm
任	nhặm
任	nhâm
任	nhầm
任	nhẩm
任	nhậm
任	nhiệm
任	vững
份	phân
份	phần
仿	phàng
仿	phảng
仿	phẳng
仿	phần
仿	phòng
仿	phỏng
企	xí
伅	giòn
伆	vặt
伉	cáng
伉	kháng
伊	y
伊	ì
伍	ngũ
伎	kĩ
伎	kỹ
伏	phục
伐	phạt
休	hầu
休	hiu
休	hươu
休	hưu
伕	phu
众	chúng
众	với
优	ưu
伙	loã
伙	lõa
会	hội
会	hụi
伛	ủ
伞	tàn
伞	tản
伞	tán
伟	vĩ
传	truyền
传	truyện
伢	nha
伤	thương
伦	luân
伧	sườn
伧	sương
伩	nho
伩	nhó
伩	nhô
伪	nguỵ
伪	ngụy
伫	trữ
伮	nó
伯	bá
伯	bác
估	cô
估	cố
伲	nấy
伲	nề
伲	ni
伴	bạn
伴	bận
伴	bọn
伴	bợn
伴	gạn
伴	vạn
伵	tớ
伶	lanh
伶	lánh
伶	lềnh
伶	linh
伶	nhanh
伶	ranh
伶	rành
伶	rảnh
伶	rạnh
伶	rình
伸	thân
伹	dà
伺	tí
伺	tứ
似	tợ
似	tự
似	từa
似	tựa
伽	gia
伽	già
伽	giả
伽	nhà
佃	điền
但	đản
但	đến
但	đởn
但	giản
佇	giữ
佇	trữ
佈	bô
佈	bố
佊	bè
佊	bề
位	vì
位	vị
位	vọi
位	vợi
低	đay
低	đây
低	đê
住	chõ
住	chú
住	giọ
住	trọ
住	trú
佐	tá
佐	tớ
佑	hựu
体	thảy
体	thấy
体	thể
体	thế
体	xể
佔	chiêm
佔	chiếm
佔	điếm
佔	giấm
佔	nhóm
佔	xúm
何	gã
何	hà
佗	đà
佘	xa
余	dờ
余	dư
余	dưa
佚	dật
佚	giặt
佛	phất
佛	phật
作	sã
作	tác
作	tố
佝	câu
佞	nạnh
佞	nến
佞	nính
佞	nịnh
你	nẻ
你	né
你	nể
你	nễ
你	nệ
你	nỉ
你	nhẹ
佢	cừ
佣	dung
佣	giống
佣	nhúng
佥	thiêm
佩	bối
佩	bội
佬	lão
佯	dương
佰	bách
佲	rành
佳	dai
佳	giai
佳	lai
佳	trai
佴	nhĩ
併	tính
佶	cát
佻	diêu
佻	đào
佻	điêu
佼	giảo
使	sử
使	sứ
使	sửa
使	sứa
使	thửa
侁	săn
侃	khản
侄	đẹt
侄	điệt
侅	hời
來	lai
來	lài
來	lại
來	lay
來	lơi
來	ray
來	rây
來	rơi
來	rời
侈	đứa
侈	sẩy
侈	xảy
侈	xẩy
侈	xẻ
侈	xi
侈	xỉ
侈	xí
侈	xỉa
侉	khoa
例	lề
例	lể
例	lệ
例	lìa
例	lời
例	lướt
例	rày
例	rẫy
例	rời
侍	thị
侏	thù
侑	hựu
侔	mâu
侔	mầu
侖	lon
侖	lỏn
侖	lọn
侖	lôn
侖	lổn
侖	lốn
侖	lộn
侖	luân
侖	lụm
侖	lùn
侖	lủn
侖	lũn
侖	lụn
侖	son
侖	tròn
侖	trọn
侖	trôn
侘	sá
供	cung
供	cùng
供	củng
供	cũng
